X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.925,10.925,16.0,14.075,1432.51,19.59,20.74,0.08175803402646602,0.371069182389937,0.4714285714285695
9.925,10.925,16.0,14.15,1435.65,19.32,20.77,0.15595463137996565,0.28616352201257866,0.514285714285714
9.925,10.925,16.075,13.85,1438.44,18.97,20.69,0.22188090737240346,0.1761006289308172,0.400000000000002
9.925,10.925,16.075,13.925,1449.69,19.11,20.71,0.4877126654064303,0.2201257861635218,0.42857142857143005
9.925,10.925,16.075,14.0,1446.08,19.26,20.75,0.4024102079395085,0.2672955974842772,0.485714285714286
9.925,10.925,16.075,14.075,1435.28,19.21,20.73,0.14721172022684376,0.2515723270440254,0.457142857142858
9.925,10.925,16.075,14.15,1434.6,19.17,20.67,0.1311436672967855,0.2389937106918244,0.37142857142857405
9.925,10.925,16.15,13.85,1429.05,19.71,20.88,0.0,0.4088050314465411,0.6714285714285705
9.925,10.925,16.15,13.925,1447.96,19.01,20.63,0.44683364839319734,0.18867924528301933,0.314285714285713
9.925,10.925,16.15,14.0,1447.91,19.23,20.79,0.4456521739130472,0.2578616352201259,0.542857142857142
9.925,10.925,16.15,14.075,1447.46,19.17,20.68,0.435018903591685,0.2389937106918244,0.3857142857142855
9.925,10.925,16.15,14.15,1435.67,19.2,20.6,0.1564272211720257,0.2484276729559746,0.2714285714285735
9.925,11.0,15.85,13.85,1434.7,20.22,20.92,0.1335066162570912,0.5691823899371066,0.7285714285714315
9.925,11.0,15.85,13.925,1435.97,20.24,20.88,0.16351606805293203,0.5754716981132071,0.6714285714285705
9.925,11.0,15.85,14.0,1434.45,20.03,20.9,0.12759924385633503,0.5094339622641513,0.6999999999999985
9.925,11.0,15.85,14.075,1463.66,19.38,20.98,0.8178166351606848,0.30503144654088016,0.8142857142857155
9.925,11.0,15.85,14.15,1465.23,19.46,20.91,0.8549149338374319,0.3301886792452833,0.714285714285715
9.925,11.0,15.924999999999999,13.85,1443.33,19.45,20.81,0.33742911153119076,0.32704402515723247,0.57142857142857
9.925,11.0,15.924999999999999,13.925,1443.55,19.47,20.78,0.34262759924385683,0.333333333333333,0.5285714285714306
9.925,11.0,15.924999999999999,14.0,1435.03,20.16,20.88,0.1413043478260876,0.5503144654088051,0.6714285714285705
9.925,11.0,15.924999999999999,14.075,1462.68,19.17,20.93,0.7946597353497202,0.2389937106918244,0.742857142857143
9.925,11.0,15.924999999999999,14.15,1465.47,19.34,20.91,0.8605860113421581,0.2924528301886792,0.714285714285715
9.925,11.0,16.0,13.85,1460.82,18.61,20.69,0.7507088846880914,0.06289308176100607,0.400000000000002
9.925,11.0,16.0,13.925,1443.06,19.25,20.7,0.3310491493383746,0.2641509433962264,0.4142857142857135
9.925,11.0,16.0,14.0,1443.22,19.35,20.64,0.33482986767486045,0.29559748427673,0.3285714285714295
9.925,11.0,16.0,14.075,1449.51,19.54,20.55,0.48345935727788436,0.35534591194968523,0.200000000000001
