X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
24.5,135.9,2.19,0.02,1.24,2.59,1.66,10.29,-44.0,-1753.83,81.06
21.12,101.0,0.54,0.03,2.75,2.12,1.56,12.61,-46.0,-1424.73,31.12
19.34,116.1,1.26,0.03,3.03,2.06,1.52,12.61,-48.0,-1501.37,39.26
23.45,102.6,3.29,0.33,0.5,2.03,1.53,14.78,-41.0,-1544.26,63.46
19.78,97.1,0.5,0.4,3.91,2.03,1.53,10.63,-44.0,-1131.95,87.25
24.45,110.9,0.5,0.05,3.13,2.3,1.7,11.5,-44.0,-1587.48,35.38
24.89,119.9,1.26,0.53,0.86,2.52,1.95,11.48,-44.0,-1589.59,83.1
24.94,120.1,1.43,0.78,1.22,2.5,1.96,12.66,-44.0,-1640.4,73.53
17.89,124.7,1.29,0.17,3.07,2.34,1.53,12.09,-46.0,-1245.47,36.73
15.58,127.5,2.64,0.23,0.81,2.06,1.56,11.04,-45.0,-977.81,35.14
16.55,124.5,0.81,0.69,2.72,2.14,1.61,13.14,-45.0,-1019.79,60.69
19.34,101.6,0.74,0.03,3.15,2.07,1.57,12.61,-48.0,-1380.73,43.44
17.59,132.4,1.8,0.76,2.23,2.16,1.6,10.07,-45.0,-1178.63,26.93
18.15,110.1,3.57,0.45,0.97,2.08,1.58,10.52,-45.0,-1295.36,58.17
20.69,105.6,1.6,0.45,2.56,2.13,1.55,10.58,-46.0,-1406.07,41.67
23.83,135.1,2.12,0.35,1.22,2.66,1.71,13.16,-43.0,-1648.26,71.85
24.59,109.2,0.5,0.37,3.11,2.2,1.66,14.86,-41.0,-1605.4,27.62
20.17,126.2,1.35,0.07,2.88,2.24,1.66,10.63,-47.0,-1514.73,31.43
18.1,110.0,0.93,0.45,0.66,2.06,1.51,10.5,-46.0,-848.99,67.6
23.8,134.5,2.19,0.4,0.89,2.24,1.74,14.06,-43.0,-1742.39,66.79
24.51,134.6,1.69,0.19,1.72,2.15,1.65,12.79,-45.0,-1908.31,71.01
24.59,109.5,3.12,0.01,0.5,2.28,1.66,14.73,-42.0,-1635.08,63.89
19.37,101.0,1.26,0.03,3.01,2.06,1.56,11.87,-48.0,-1467.05,34.96
23.12,132.5,0.73,0.28,2.95,2.06,1.56,11.55,-45.0,-1608.58,31.35
24.39,135.6,0.53,0.23,3.16,2.33,1.71,13.74,-41.0,-1596.49,27.96
24.33,115.7,0.58,0.76,3.01,2.82,1.86,10.62,-45.0,-1399.0,65.13
24.19,102.2,0.93,0.31,0.62,2.03,1.53,10.61,-45.0,-1396.26,86.83
23.83,109.9,0.59,0.35,2.98,2.66,1.71,14.82,-41.0,-1500.52,37.71
24.4,131.9,1.47,0.22,1.4,2.26,1.66,14.01,-43.0,-1803.56,64.32
23.66,108.6,3.31,0.45,0.5,2.5,1.76,12.7,-44.0,-1498.98,80.54
16.41,120.7,1.28,0.18,2.99,2.05,1.55,13.17,-48.0,-1320.21,60.53
22.33,131.6,0.8,0.9,1.11,2.47,1.55,14.41,-41.0,-1440.51,61.14
23.69,107.5,3.24,0.95,0.5,2.03,1.52,10.33,-44.0,-1504.09,86.66
