X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
16,120,3,1,1,0.5,-45.0,-1104.53,36.74
25,150,1,2,1,0.5,-45.0,-1839.33,64.37
16,130,3,1,1,0.5,-45.0,-1146.5,37.65
16,150,3,1,1,1.0,-44.0,-1002.15,40.8
24,130,1,1,2,1.0,-44.0,-1644.02,45.0
15,140,3,2,1,1.5,-45.0,-735.12,57.13
16,100,3,1,2,1.0,-43.0,-972.3,31.93
15,100,2,1,3,1.0,-43.0,-925.89,38.81
21,100,2,1,1,1.5,-44.0,-1191.59,62.47
18,100,1,2,3,1.0,-47.0,-891.28,77.58
18,100,2,1,2,0.5,-45.0,-1352.84,55.88
17,110,3,2,1,1.0,-44.0,-896.86,38.43
16,140,2,1,1,1.0,-44.0,-963.63,47.4
15,100,3,1,2,1.0,-44.0,-929.01,28.88
18,120,1,2,1,0.5,-45.0,-1062.94,54.5
16,150,1,2,2,0.5,-47.0,-1082.37,48.66
15,150,3,2,2,1.0,-42.0,-831.45,49.25
17,150,2,1,1,1.0,-44.0,-1083.52,52.89
16,100,1,1,1,0.5,-45.0,-958.46,44.43
25,110,2,2,1,1.5,-44.0,-1597.68,61.38
21,100,2,2,1,0.5,-44.0,-1282.68,49.52
16,110,3,1,2,1.0,-43.0,-1000.06,33.69
16,100,3,2,1,0.5,-44.0,-886.16,20.03
17,120,1,1,1,0.5,-45.0,-1101.05,53.92
24,150,1,2,1,1.0,-45.0,-1727.7,67.24
18,100,1,1,1,0.5,-45.0,-1123.76,59.88
20,100,3,2,1,1.0,-43.0,-1112.22,54.39
20,140,1,1,3,0.5,-40.0,-1386.19,55.95
16,120,3,2,1,1.0,-44.0,-840.84,35.31
24,140,1,2,1,1.5,-44.0,-1661.63,67.03
21,130,1,1,2,0.5,-46.0,-1607.99,51.63
25,100,1,2,2,0.5,-43.0,-1501.1,45.47
16,100,1,2,3,1.0,-48.0,-785.01,72.8
16,100,1,2,1,0.5,-46.0,-813.82,38.44
24,100,1,1,1,1.5,-44.0,-1466.86,60.79
19,100,2,1,1,0.5,-45.0,-1265.72,58.56
16,110,1,1,2,0.5,-47.0,-1214.17,45.07
23,100,2,1,1,0.5,-44.0,-1569.91,51.98
24,110,2,1,1,0.5,-44.0,-1687.07,53.69
17,120,1,2,1,0.5,-45.0,-967.66,48.43
24,140,2,1,1,1.0,-43.0,-1713.33,61.29
16,110,3,1,1,1.0,-44.0,-925.1,31.49
18,120,2,2,1,0.5,-45.0,-1093.81,47.63
15,120,2,1,2,1.0,-46.0,-953.48,35.74
16,140,3,2,1,0.5,-44.0,-989.14,32.18
25,140,2,1,1,0.5,-43.0,-1887.83,56.69
25,120,2,1,1,0.5,-44.0,-1804.87,52.28
16,150,2,1,1,0.5,-44.0,-1160.69,55.94
15,130,3,1,1,0.5,-44.0,-1064.2,36.62
25,100,2,1,1,1.0,-44.0,-1605.05,53.53
21,100,2,2,1,0.5,-44.0,-1282.68,49.52
21,130,1,1,2,1.0,-46.0,-1408.21,53.8
18,100,1,1,1,0.5,-45.0,-1123.76,59.88
25,110,1,1,1,0.5,-45.0,-1771.94,54.22
16,130,2,1,1,0.5,-44.0,-1112.05,57.97
17,140,3,1,1,1.0,-44.0,-1086.86,44.75
17,100,1,2,1,0.5,-46.0,-919.7,40.68
24,100,1,1,2,1.0,-45.0,-1515.26,39.05
25,130,1,1,1,0.5,-45.0,-1861.17,56.92
21,100,1,1,1,0.5,-45.0,-1395.18,61.29
17,140,1,1,2,1.0,-46.0,-1101.97,39.15
15,110,3,2,1,1.0,-44.0,-744.59,41.09
25,100,1,1,1,1.0,-45.0,-1601.49,56.01
25,100,2,2,1,1.5,-44.0,-1521.66,59.66
15,120,3,1,2,1.0,-44.0,-964.53,33.18
24,100,2,2,1,1.0,-44.0,-1463.63,53.73
15,120,3,2,1,0.5,-45.0,-865.79,26.07
23,150,1,1,1,0.5,-44.0,-1760.43,63.26
16,100,2,2,1,0.5,-45.0,-885.39,35.04
18,120,1,1,1,0.5,-45.0,-1174.98,62.01
16,110,3,2,1,1.0,-44.0,-800.57,33.7
21,120,3,1,1,0.5,-43.0,-1484.91,49.08
16,100,3,2,2,1.0,-42.0,-793.71,30.85
17,100,1,1,1,0.5,-45.0,-1047.52,52.92
17,150,3,1,1,1.0,-43.0,-1087.43,47.9
24,130,1,1,1,1.0,-44.0,-1686.3,60.68
25,150,2,1,1,0.5,-43.0,-1899.48,59.44
17,110,2,1,2,1.5,-46.0,-917.42,40.54
25,150,1,2,2,1.5,-42.0,-1680.31,58.17
16,100,2,1,2,0.5,-44.0,-1262.18,58.05
15,140,1,1,2,1.0,-46.0,-926.17,36.55
16,140,1,1,1,0.5,-45.0,-1063.27,45.88
23,110,2,1,1,0.5,-44.0,-1615.15,54.41
18,150,1,1,1,0.5,-45.0,-1259.67,64.55
16,100,1,1,1,0.5,-45.0,-958.46,44.43
16,110,1,1,2,1.5,-46.0,-811.48,42.18
17,120,2,2,1,0.5,-45.0,-1025.97,41.07
24,130,1,2,2,0.5,-44.0,-1616.83,62.5
15,130,1,1,2,0.5,-46.0,-1170.15,47.43
16,100,2,2,2,0.5,-47.0,-976.21,27.57
15,150,1,1,1,1.0,-45.0,-820.92,49.06
24,110,2,1,1,1.0,-44.0,-1578.04,56.29
25,130,1,1,2,1.0,-43.0,-1696.9,45.48
16,110,3,1,1,0.5,-45.0,-1096.9,33.5
24,100,2,1,1,1.0,-44.0,-1528.15,54.1
20,120,1,1,2,1.0,-46.0,-1306.41,49.99
16,150,1,1,3,1.0,-47.0,-1080.51,41.73
23,120,1,1,1,0.5,-44.0,-1642.33,59.18
15,120,1,2,2,0.5,-47.0,-931.77,46.91
24,120,1,1,2,0.5,-45.0,-1746.9,38.59
16,100,1,1,2,0.5,-47.0,-1194.32,47.7
18,100,1,1,2,1.0,-46.0,-1081.77,33.47
24,130,1,2,2,1.0,-44.0,-1568.08,56.06
25,100,1,1,1,1.5,-44.0,-1546.57,60.72
17,100,2,1,1,0.5,-44.0,-1134.39,56.02
17,150,3,2,1,0.5,-44.0,-1080.61,41.67
24,150,1,1,2,1.5,-43.0,-1618.57,57.25
24,140,1,2,1,0.5,-45.0,-1732.97,66.96
25,150,1,2,2,1.0,-43.0,-1654.05,56.02
18,110,3,1,1,0.5,-45.0,-1215.84,44.12
15,140,1,1,2,0.5,-47.0,-1180.95,42.24
25,100,1,1,2,1.5,-44.0,-1508.39,46.69
24,130,1,1,2,1.5,-44.0,-1576.96,53.72
15,130,3,1,2,1.0,-43.0,-982.94,35.35
21,100,1,1,3,1.0,-43.0,-1115.26,42.66
