X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,AVG,RIP,COG
16,140,4,0.5,1,2.5,1.5,11,11,0,0,1003.83,35.31,19.91
15,120,3,0.5,1,2.0,1.5,12,16,16,8,1034.56,31.06,20.44
20,100,3,0.5,1,2.5,1.5,13,13,16,16,1597.45,81.81,19.81
24,140,2,0.5,1,2.0,1.5,11,11,16,16,2084.78,45.43,19.99
16,140,4,0.5,1,2.5,1.5,14,17,6,0,1105.14,63.26,18.83
22,110,2,0.5,2,2.5,1.5,10,10,16,16,1572.05,58.57,20.29
21,100,1,0.5,1,2.0,1.5,10,10,0,16,1332.83,96.62,18.08
21,100,3,0.5,1,2.0,1.5,12,12,12,12,1512.59,74.03,20.45
19,150,2,0.5,2,2.0,1.5,11,11,16,16,1550.09,63.38,19.96
24,140,2,0.5,1,2.0,1.5,11,11,0,16,1848.24,67.88,18.25
16,140,2,0.5,1,2.0,1.5,14,14,4,16,1371.05,110.41,20.26
22,150,2,0.5,1,2.5,1.5,10,10,16,16,1791.26,61.08,20.17
24,140,2,0.5,1,2.5,1.5,11,11,16,16,2073.28,45.2,19.93
22,150,1,0.5,1,2.0,1.5,15,15,0,0,1624.66,50.26,18.81
22,150,2,0.5,2,2.0,1.5,15,15,12,12,2128.91,54.13,19.01
20,150,3,0.5,1,2.0,1.5,10,10,16,16,1613.95,69.85,20.17
24,140,1,0.5,2,2.0,1.5,13,13,6,6,1757.49,47.85,20.21
17,100,1,0.5,4,2.0,1.5,10,10,16,16,948.64,85.67,20.04
22,100,1,0.5,2,2.0,1.5,10,12,0,4,1339.82,64.88,20.75
16,130,2,0.5,3,2.5,1.5,11,11,16,16,1106.53,50.66,19.88
15,100,3,0.5,1,2.0,1.5,10,16,16,8,932.27,43.15,21.03
24,120,2,0.5,1,2.0,1.5,10,10,0,16,1670.41,80.49,17.96
21,140,3,0.5,1,2.5,1.5,10,10,16,16,1669.06,70.74,20.16
24,150,1,0.5,2,2.0,1.5,10,10,8,8,1750.17,49.04,20.17
15,130,3,0.5,2,2.0,1.5,12,15,16,16,1273.59,80.67,20.82
23,120,2,0.5,1,2.0,1.5,10,10,14,14,1704.58,65.76,19.78
24,120,2,0.5,1,2.0,1.5,10,10,4,16,1721.95,75.02,19.18
16,140,4,0.5,1,2.0,1.5,15,15,0,0,1270.26,42.65,18.73
20,140,1,0.5,1,2.5,1.5,10,10,16,16,1575.49,83.14,20.15
24,140,2,0.5,1,2.0,1.5,10,10,16,16,1997.99,49.63,20.17
17,110,1,0.5,2,2.0,1.5,10,12,16,16,1380.18,72.8,21.32
25,120,2,0.5,1,2.0,1.5,12,12,6,6,1787.0,72.98,19.99
23,140,1,0.5,2,2.0,1.5,15,17,6,2,1795.8,36.61,17.34
20,140,1,0.5,3,2.0,1.5,10,11,16,16,1401.13,29.06,19.97
15,130,4,0.5,1,2.0,1.5,11,15,8,0,1049.15,25.97,19.5
25,150,1,0.5,1,2.5,1.5,10,10,0,2,1721.88,84.99,19.61
24,120,2,0.5,1,2.5,1.5,10,10,2,16,1683.0,80.71,17.61
24,150,1,0.5,2,2.0,1.5,12,12,12,12,1933.58,46.55,20.41
21,100,2,0.5,1,2.5,1.5,10,10,0,16,1265.18,101.41,18.0
21,130,1,0.5,3,2.0,1.5,11,11,12,12,1436.11,25.36,20.12
25,120,1,0.5,2,2.0,1.5,10,10,8,16,1765.76,53.01,20.0
