index, torque
403,0.005099341869505198
404,0.004521734782922766
405,0.004595358870375262
406,0.004309464133048113
407,0.0035643005723039745
408,0.0035923681896827177
409,0.003228791986901417
410,0.002174321965854332
411,0.00184745812861289
412,0.0016459504774256678
413,0.0012051740147183674
414,0.0011113787430937978
415,0.0012168146653318455
416,0.0011309817843894528
417,0.0011361301034005869
418,0.0022917596256762105
419,0.0026936203547042537
420,0.0030454622941495776
421,0.00346678544785394
422,0.0035338398198359643
423,0.003835625414291094
424,0.0035763922355915574
425,0.0037013902882863286
426,0.00289586957710108
427,0.00242933010693814
428,0.0021080218828764467
429,0.0015361949101715018
430,0.001058849194255318
431,0.00020498474073636858
432,0.0003076015553995369
433,1.4949644206059803e-05
434,-0.0004994709867065278
435,-0.00023241033102445064
436,-0.0005011183822577546
437,-0.000744845133740363
438,-0.0003280905786301443
439,-0.0002473547099089736
440,-0.0006251375203828011
441,-9.568900268171632e-05
442,-6.650914926002033e-05
443,-7.95979523962975e-05
444,0.0006157945958065161
445,0.00022391850342105314
446,0.0001390237786954426
447,0.0005861104300532317
448,4.192846609330338e-05
449,0.00038822789558980034
450,0.00041375872749203815
451,-0.0003262290290755752
452,-3.323536481363021e-05
453,0.00024723972975220334
454,0.00019994626427108017
455,0.0002738842485668926
456,0.0006718036926381783
457,0.0006634546066580246
458,0.0010335870009739742
459,0.001782575886107925
460,0.0017069212727560345
461,0.0018278731717886177
462,0.0020390565942500424
463,0.0020207215513586303
464,0.002519243054506546
465,0.0022217461152596934
466,0.0023818557453576064
467,0.0023094469567133354
468,0.00175476976141334
469,0.0021378241717173703
470,0.001942860200058355
471,0.0014352528590422832
472,0.0010605021614480841
473,0.00039235812022751044
474,-0.00017467925149498853
475,-0.0005111099404223845
476,-0.0008995589330852011
477,-0.0012622762158416368
478,-0.0013221367748776952
479,-0.0012102655962073147
480,-0.00043766266567249945
481,4.9422031056544843e-05
482,0.0004983635084812822
483,0.0015874117812746998
484,0.00198756686428118
485,0.002688703772516355
486,0.0036376975211669647
487,0.0033565481255907192
488,0.0032177556013161476
489,0.0032901949640424554
490,0.0026442412296393786
491,0.001966019414147028
492,0.0012441545337757462
493,-1.4103395094051778e-05
494,-0.0012033793559120317
495,-0.0015064233319580893
496,-0.0021981103063425183
497,-0.002900690262006158
498,-0.002768538181720565
499,-0.0030375290480881673
500,-0.002382787843542432
501,-0.0014519395503480286
502,-0.0012293591506009984
503,-0.00029204662622891965
504,5.974804100891771e-05
505,0.0007993998695213452
506,0.0015412838778851403
507,0.0015394000848448488
508,0.0014407485093126133
509,0.001223829170367994
510,0.0008277670872577838
511,0.000541937279395836
512,0.00021833976636287215
513,-0.0008546504320936944
514,-0.0014761582960599474
515,-0.00164793380545566
516,-0.0019668519400344734
517,-0.0022994126793840957
518,-0.0023358660029264935
519,-0.0024905868899180814
520,-0.002592200319449923
521,-0.00190645627044792
522,-0.0015319797216730188
523,-0.0017617706517214045
524,-0.001138579039024706
525,-0.000787029861850197
526,-0.0007262480983010033
527,-0.00039060872631630286
528,-0.0002204867236715426
529,-2.7132067978638368e-05
530,-0.0002232947366861927
531,0.0003287752929202964
532,0.0004458280437182199
533,-6.0011461252354025e-05
534,0.00040100680121109636
535,0.0005645078544733351
536,0.0003163667220611433
537,0.0006743334276631003
538,0.0009065329951293624
539,0.0006154654484714301
540,0.0006298808118619342
541,0.0013652791096343995
542,0.0011552853662830155
543,0.0011671496064624136
544,0.0017342468549874242
545,0.0014135771368328533
546,0.001622390477133241
547,0.002044436901182625
548,0.0023619664344343067
549,0.002085479102500608
550,0.002579099931152631
551,0.002881578946320015
552,0.0024270411740906933
553,0.0026348616407106474
554,0.0026342903725836593
555,0.002009952396271063
556,0.0015855977384914947
557,0.001630601426120644
558,0.0011850884861909928
559,0.000522683945891572
560,0.0005013878325676945
561,0.00039457517372070523
562,-0.00017550400299227737
563,0.00041415033024136817
564,0.0008679132013895202
565,0.0006947846385750387
566,0.001496264670075501
567,0.002622978324322945
568,0.003033050629903589
569,0.003843856615557574
570,0.004774021310178686
571,0.004923919742814083
572,0.005291301942664028
573,0.006303167939081609
574,0.005982267761572465
575,0.005938851439794507
576,0.006321669003557637
577,0.005964345482823473
578,0.005875755907705062
579,0.005895650308466596
580,0.00515740371552313
581,0.003975641159440298
582,0.003846862670934016
583,0.003032568280870203
584,0.002323008020264485
585,0.0024099319202819016
586,0.002104590012236621
587,0.002087232327591631
588,0.002668358897958458
589,0.003514469755096861
590,0.003758064930914528
591,0.0037156444574667925
592,0.0046642083669563095
593,0.0043462566917327715
594,0.004251539464292596
595,0.0044318067172786114
596,0.003335058483479767
597,0.0028757947958308124
598,0.0026425156874119882
599,0.0020547211914487195
600,0.0012699113413112957
601,0.0006273361705145673
602,0.0001902457127176192
603,-6.010999827654089e-05
604,-0.00013723092852130055
605,-0.0004831170439267606
606,-0.0008315183102600636
607,-0.000578434693145708
608,-0.0005981161580658747
609,-0.0004895626703607537
610,-0.0007060241952288639
611,-0.0008405006977273933
612,-0.0007539921427725145
613,-0.00047199849513972084
614,-0.0004247697194641642
615,-0.00042580578024097255
616,-0.00038760664182560306
617,-0.000548172268434159
618,-0.0002545026241437408
619,-0.0003205976728927816
620,-0.0005279573784813764
621,-0.0003738317045716361
622,-0.00040447061468802496
623,-0.00045762407221769993
624,-0.0002735420404108642
625,1.8025517618899638e-05
626,-0.0001126713611057299
627,-0.00010763263942615555
628,0.00048039171995178584
629,0.00041815175445747855
630,0.0006473975016551654
631,0.0012111289992436025
632,0.0010652212850557007
633,0.0014046743970581696
634,0.002001488373351165
635,0.0020484132521679187
636,0.0021310740718743894
637,0.0021357208709689014
638,0.0019396036880817702
639,0.0017520975619749568
640,0.0016363275315416839
641,0.001284543635806086
642,0.0008443709139228329
643,0.00022893440517675898
644,-8.55158510174956e-05
645,-0.00033160481511586726
646,-0.0009208324474452357
647,-0.0009188237082037975
648,-0.0010702035574614468
649,-0.0012413469551601393
650,-0.0005241288611142808
651,-0.0001540492350111007
652,0.0003705169635889677
653,0.0007114447752519101
654,0.0016233592406697406
655,0.0023171354006601254
656,0.002813898296166003
657,0.003227147968255182
658,0.0030458844581199764
659,0.0030132328070767976
660,0.0028021930565657782
661,0.0021952652481503823
662,0.0013730744235169994
663,0.00012574562447457364
664,-0.0009374711070458072
665,-0.0012813257289912981
666,-0.0021918181991876953
667,-0.002641948475339836
668,-0.003111966515031987
669,-0.0032308722757282554
670,-0.002418165714772982
