
 Nodal results 
Node x:0.0, y:-6.0, Vector potential = 0
Node x:7.5, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:6.0, Vector potential = 0
Node x:0.0, y:6.0, Bx = 0
Node x:0.0, y:6.0, By = 0
Node x:0.0, y:6.0, Sigma = 0
Node x:0.0, y:6.0, E = 0
Node x:0.0, y:6.0, Hx = 0
Node x:0.0, y:6.0, Hy = 0
Node x:0.0, y:6.0, Je = 0
Node x:0.0, y:6.0, Js = 0
Node x:0.0, y:6.0, Mux = 1
Node x:0.0, y:6.0, Muy = 1
Node x:0.0, y:6.0, Pe = 0
Node x:0.0, y:6.0, Ph = 0

 Nodal results 
Node x:1.0, y:6.0, Vector potential = 0
Node x:1.0, y:6.0, Bx = 0.0001606598954796441
Node x:1.0, y:6.0, By = 0.000130196411843167
Node x:1.0, y:6.0, Sigma = 0
Node x:1.0, y:6.0, E = 0.01701474076512681
Node x:1.0, y:6.0, Hx = 127.8490826110631
Node x:1.0, y:6.0, Hy = 103.607012588341
Node x:1.0, y:6.0, Je = 0
Node x:1.0, y:6.0, Js = 0
Node x:1.0, y:6.0, Mux = 1
Node x:1.0, y:6.0, Muy = 1
Node x:1.0, y:6.0, Pe = 0
Node x:1.0, y:6.0, Ph = 0

 Nodal results 
Node x:1.875, y:6.0, Vector potential = -2.489922552924889e-022
Node x:1.875, y:6.0, Bx = 0.0003479470372907454
Node x:1.875, y:6.0, By = 0.0001743468380229894
Node x:1.875, y:6.0, Sigma = 0
Node x:1.875, y:6.0, E = 0.06026559510943799
Node x:1.875, y:6.0, Hx = 276.8874545950109
Node x:1.875, y:6.0, Hy = 138.7408054190038
Node x:1.875, y:6.0, Je = 0
Node x:1.875, y:6.0, Js = 0
Node x:1.875, y:6.0, Mux = 1
Node x:1.875, y:6.0, Muy = 1
Node x:1.875, y:6.0, Pe = 0
Node x:1.875, y:6.0, Ph = 0

 Nodal results 
Node x:2.944223512041475, y:4.313221636585817, Vector potential = 1.581806566927839e-006
Node x:2.944223512041475, y:4.313221636585817, Bx = 0.0005069070019025446
Node x:2.944223512041475, y:4.313221636585817, By = 0.0004972590887743724
Node x:2.944223512041475, y:4.313221636585817, Sigma = 0
Node x:2.944223512041475, y:4.313221636585817, E = 0.2006232847256584
Node x:2.944223512041475, y:4.313221636585817, Hx = 403.3837752034138
Node x:2.944223512041475, y:4.313221636585817, Hy = 395.7062098790648
Node x:2.944223512041475, y:4.313221636585817, Je = 0
Node x:2.944223512041475, y:4.313221636585817, Js = 0
Node x:2.944223512041475, y:4.313221636585817, Mux = 1
Node x:2.944223512041475, y:4.313221636585817, Muy = 1
Node x:2.944223512041475, y:4.313221636585817, Pe = 0
Node x:2.944223512041475, y:4.313221636585817, Ph = 0

 Nodal results 
Node x:4.198213437134579, y:1.75, Vector potential = 8.050284064907548e-006
Node x:4.198213437134579, y:1.75, Bx = 0.0007625129994223767
Node x:4.198213437134579, y:1.75, By = 0.001761421884805248
Node x:4.198213437134579, y:1.75, Sigma = 0
Node x:4.198213437134579, y:1.75, E = 1.46583020810693
Node x:4.198213437134579, y:1.75, Hx = 606.7885651494939
Node x:4.198213437134579, y:1.75, Hy = 1401.694999184992
Node x:4.198213437134579, y:1.75, Je = 0
Node x:4.198213437134579, y:1.75, Js = 0
Node x:4.198213437134579, y:1.75, Mux = 1
Node x:4.198213437134579, y:1.75, Muy = 1
Node x:4.198213437134579, y:1.75, Pe = 0
Node x:4.198213437134579, y:1.75, Ph = 0

 Nodal results 
