X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
22.95,105.8,0.59,0.41,2.95,2.28,1.51,14.72,-27.0,-209.51,76.83
23.08,104.4,0.63,0.36,2.77,2.19,1.69,14.67,-28.0,-211.73,75.18
23.76,120.0,0.54,0.92,3.0,2.34,1.82,14.7,-29.0,-210.92,77.06
19.14,120.0,1.65,0.86,2.96,2.07,1.57,14.52,-31.0,-201.89,80.38
19.18,112.1,1.14,0.3,1.2,2.0,1.5,14.91,-25.0,-211.0,80.2
22.86,94.1,2.6,0.42,1.0,2.34,1.73,11.03,-44.0,-147.85,99.59
19.14,134.3,1.12,0.3,2.78,2.15,1.54,14.79,-28.0,-212.29,77.16
23.7,130.4,1.05,0.65,2.78,2.5,1.74,14.16,-34.0,-197.86,84.43
23.41,132.8,1.62,0.34,1.47,2.68,1.75,12.74,-42.0,-169.59,95.39
23.12,108.0,0.67,0.73,2.67,2.14,1.5,14.84,-26.0,-213.09,74.09
23.47,129.7,2.03,0.1,1.55,2.51,1.75,13.49,-38.0,-187.81,86.35
23.86,92.0,1.41,0.46,1.46,2.0,1.5,14.44,-30.0,-205.62,77.43
19.54,133.0,1.68,0.64,2.68,2.66,1.75,14.72,-28.0,-207.98,81.09
22.95,95.9,0.5,0.45,1.89,2.39,1.89,14.42,-29.0,-207.51,80.34
22.9,102.4,1.86,0.28,1.91,2.18,1.66,14.87,-27.0,-219.31,69.07
19.88,95.2,2.06,0.77,1.09,2.01,1.51,14.69,-27.0,-206.19,80.78
19.5,134.3,1.13,0.64,2.69,2.38,1.74,14.85,-26.0,-214.68,79.11
19.87,117.2,1.43,0.87,2.39,2.23,1.72,14.73,-28.0,-209.64,78.94
22.93,118.7,2.83,0.41,1.0,2.19,1.69,14.93,-25.0,-221.65,71.19
24.13,96.4,0.5,0.45,1.93,2.4,1.9,14.88,-23.0,-222.75,73.59
22.95,114.9,2.66,0.06,1.02,2.06,1.55,10.66,-43.0,-154.83,97.58
23.28,80.3,3.14,0.07,0.5,2.08,1.54,10.64,-43.0,-145.52,98.77
19.14,120.0,2.79,0.86,1.62,2.34,1.82,14.79,-28.0,-212.8,78.01
20.42,109.0,3.4,0.52,0.9,2.32,1.82,14.89,-26.0,-216.23,75.71
23.52,125.2,1.98,0.41,1.72,2.4,1.66,14.66,-28.0,-214.18,76.63
23.53,105.7,0.59,0.08,2.95,2.15,1.55,10.5,-45.0,-143.27,104.5
15.57,139.5,0.58,0.3,3.42,2.22,1.66,14.67,-28.0,-203.2,80.61
19.24,139.3,1.46,0.08,3.19,2.08,1.51,14.82,-29.0,-215.35,68.67
23.64,94.5,2.01,0.42,1.46,2.32,1.69,14.78,-27.0,-215.69,74.05
19.54,132.9,1.67,0.64,2.62,2.16,1.66,14.69,-29.0,-210.67,76.48
19.14,120.0,1.58,0.86,0.59,2.03,1.53,14.89,-26.0,-211.39,80.8
23.18,117.0,0.53,0.92,2.1,2.33,1.7,14.64,-28.0,-212.7,77.46
19.14,120.0,1.49,0.86,2.91,2.0,1.5,14.7,-29.0,-204.22,79.03
22.82,106.0,0.54,0.38,3.16,2.58,1.87,14.61,-29.0,-207.94,77.97
17.67,112.9,1.23,0.52,0.82,2.08,1.57,10.55,-45.0,-126.5,102.69
19.49,134.1,1.69,0.62,1.46,2.0,1.5,14.85,-26.0,-213.15,79.17
16.35,136.9,2.36,0.93,2.58,2.35,1.85,14.71,-29.0,-205.25,81.36
23.18,107.0,2.64,0.52,0.97,2.35,1.83,14.3,-31.0,-205.83,79.96
19.49,138.5,1.19,0.3,2.77,2.25,1.68,14.83,-27.0,-213.45,75.81
20.42,115.3,3.4,0.52,0.9,2.01,1.51,14.89,-26.0,-214.48,75.97
19.34,99.3,2.82,0.51,1.0,2.02,1.52,14.77,-27.0,-208.46,77.56
21.99,135.9,3.03,0.68,0.69,2.11,1.54,14.73,-28.0,-210.69,76.47
19.21,116.8,1.43,0.06,2.4,2.08,1.5,14.48,-30.0,-205.24,75.86
19.88,95.1,2.12,0.77,1.39,2.0,1.5,14.66,-27.0,-205.72,80.36
19.16,108.0,1.49,0.46,3.09,2.1,1.5,14.46,-31.0,-199.08,79.44
