X1,X2,X3,X4,X5,X6,X7,X8,COG
15.45,137.9,1.67,0.24,3.29,2.23,1.69,14.52,19.36
19.88,95.6,2.05,0.71,2.07,2.01,1.51,14.72,18.53
20.66,95.1,2.12,0.77,1.39,2.0,1.5,14.66,18.37
23.64,118.7,0.52,0.41,1.0,2.1,1.54,14.77,18.82
22.44,137.8,0.72,0.25,2.74,2.18,1.51,14.78,18.48
19.53,103.8,1.66,0.61,2.62,2.13,1.63,14.72,18.77
19.42,136.4,1.17,0.6,2.76,2.14,1.5,14.84,18.74
22.93,92.8,2.83,0.41,0.99,2.2,1.7,14.42,19.66
19.14,134.3,1.13,0.31,2.78,2.37,1.74,14.79,19.05
22.48,118.9,0.66,0.4,3.0,2.1,1.5,14.66,18.6
24.78,139.3,0.5,0.31,3.11,2.11,1.54,14.69,18.44
19.74,122.1,1.48,0.33,2.96,2.16,1.66,14.7,18.9
23.27,104.4,0.63,0.41,2.77,2.19,1.69,14.64,18.88
19.91,104.6,1.46,0.11,2.76,2.19,1.69,14.47,19.5
23.14,105.7,1.66,0.26,1.5,2.14,1.54,14.77,18.69
19.88,95.2,2.04,0.77,1.53,2.01,1.51,14.72,18.48
23.27,103.6,0.56,0.4,3.29,2.11,1.5,14.46,18.83
20.31,110.4,1.75,0.29,2.39,2.37,1.87,14.88,19.48
19.65,104.6,1.43,0.17,2.76,2.16,1.5,14.72,18.39
22.84,111.6,3.44,0.97,0.5,2.34,1.84,14.92,19.55
23.52,105.7,0.59,0.41,2.88,2.28,1.54,14.66,18.66
24.01,138.6,0.5,0.3,3.26,2.12,1.54,14.71,18.6
19.34,99.3,1.41,0.51,2.41,2.02,1.52,13.94,20.2
19.68,132.7,0.67,0.38,2.55,2.1,1.5,14.69,18.31
16.49,138.5,1.68,0.3,2.77,2.26,1.68,14.83,19.01
23.67,140.0,2.34,0.25,1.01,2.22,1.5,14.71,18.34
24.57,102.2,1.48,0.52,0.5,2.29,1.5,14.7,18.37
19.24,139.3,1.67,0.08,2.73,2.08,1.51,14.68,18.2
19.25,116.8,1.43,0.06,2.72,2.2,1.62,14.72,18.67
24.01,139.7,0.5,0.62,2.77,2.1,1.54,14.8,18.58
22.89,92.0,1.75,0.41,1.46,2.0,1.5,14.44,19.05
19.14,120.0,1.67,0.86,2.69,2.0,1.5,14.7,18.42
20.42,136.1,3.4,0.55,0.9,2.23,1.73,14.89,19.26
19.54,133.0,1.62,0.64,0.54,2.38,1.87,14.88,19.5
19.39,139.6,1.15,0.63,2.74,2.38,1.74,14.84,19.12
19.24,132.5,1.43,0.87,0.66,2.36,1.72,14.73,18.94
