X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
24.42,135.1,1.7,0.18,1.73,2.16,1.66,12.79,-45.0,-1891.87,70.82,19.6
24.48,94.7,0.5,0.06,2.92,2.18,1.59,11.47,-45.0,-1565.64,37.17,21.06
22.35,121.8,3.52,0.9,0.54,2.36,1.82,10.5,-44.0,-1452.58,83.13,19.5
18.16,133.5,1.35,0.14,0.95,2.36,1.66,12.1,-44.0,-1023.93,51.27,20.49
24.3,129.1,1.64,0.86,1.84,2.62,1.7,12.53,-43.0,-1594.45,74.97,19.53
18.01,132.5,1.29,0.18,3.07,2.48,1.53,12.09,-46.0,-1194.19,35.54,20.5
18.3,130.6,2.56,0.86,1.38,2.52,1.76,14.01,-41.0,-1261.29,48.46,20.75
23.27,131.4,1.35,0.48,2.31,2.35,1.54,14.83,-41.0,-1659.36,47.4,18.88
20.47,127.8,0.83,0.19,3.34,2.14,1.58,13.47,-45.0,-1500.35,35.6,20.99
19.11,104.9,1.32,0.35,1.51,2.1,1.6,13.42,-44.0,-1205.24,37.75,20.71
19.17,117.6,0.52,0.29,1.01,2.36,1.81,12.33,-45.0,-983.71,67.07,20.21
23.46,101.3,0.52,0.63,3.01,2.05,1.51,12.66,-42.0,-1427.59,34.18,18.96
19.16,134.6,2.81,0.76,1.61,2.2,1.6,10.62,-44.0,-1395.87,61.07,18.82
19.34,111.2,1.26,0.07,2.96,2.1,1.56,12.61,-47.0,-1489.33,37.72,18.96
18.42,134.6,2.81,0.79,1.51,2.2,1.6,14.67,-41.0,-1428.88,51.97,18.66
19.34,101.0,1.29,0.03,1.47,2.06,1.52,12.61,-45.0,-1202.73,40.42,18.73
23.32,138.4,2.64,0.27,0.81,2.38,1.51,10.89,-44.0,-1619.06,81.96,19.72
18.78,133.8,2.0,0.27,0.68,2.1,1.58,10.63,-44.0,-1157.34,60.78,18.82
18.01,132.5,3.07,0.18,1.26,2.48,1.53,12.09,-44.0,-1271.25,52.12,20.26
23.78,121.8,3.03,0.04,0.53,2.24,1.59,12.17,-44.0,-1646.67,81.07,20.3
21.0,109.5,0.88,0.18,2.96,2.1,1.6,11.74,-47.0,-1456.49,31.43,21.27
18.77,110.2,2.02,0.61,2.66,2.17,1.67,13.49,-45.0,-1437.85,51.18,20.88
24.46,94.3,0.5,0.03,3.04,2.2,1.7,11.49,-45.0,-1572.32,32.71,21.06
19.51,122.6,1.7,0.18,0.53,2.1,1.6,12.73,-43.0,-1163.13,60.87,19.07
17.6,124.2,1.28,0.35,2.35,2.13,1.63,10.37,-46.0,-1161.91,28.26,19.55
24.4,109.9,0.5,0.24,3.13,2.22,1.68,14.44,-42.0,-1628.73,27.56,20.06
24.63,127.5,1.17,0.23,2.22,2.2,1.58,10.98,-45.0,-1751.48,55.66,20.29
23.27,105.6,1.81,0.4,1.79,2.2,1.6,10.69,-44.0,-1616.61,67.08,19.44
23.07,91.1,0.81,0.75,1.75,2.08,1.51,10.61,-44.0,-1291.74,63.45,18.86
15.7,128.0,2.48,0.52,2.23,2.08,1.58,10.29,-47.0,-1225.7,43.61,19.78
20.71,105.7,1.67,0.96,2.64,2.13,1.57,12.53,-44.0,-1341.28,39.87,19.02
23.17,110.7,0.51,0.01,2.29,2.17,1.66,10.59,-45.0,-1518.83,50.39,19.22
20.17,106.9,0.84,0.4,3.32,2.12,1.55,10.69,-46.0,-1282.77,48.57,19.2
24.5,135.9,2.19,0.02,1.24,2.59,1.66,10.29,-44.0,-1753.83,81.06,19.59
21.12,101.0,0.54,0.03,2.75,2.12,1.56,12.61,-46.0,-1424.73,31.12,19.09
19.34,116.1,1.26,0.03,3.03,2.06,1.52,12.61,-48.0,-1501.37,39.26,18.9
23.45,102.6,3.29,0.33,0.5,2.03,1.53,14.78,-41.0,-1544.26,63.46,18.5
19.78,97.1,0.5,0.4,3.91,2.03,1.53,10.63,-44.0,-1131.95,87.25,18.68
24.45,110.9,0.5,0.05,3.13,2.3,1.7,11.5,-44.0,-1587.48,35.38,21.0
24.89,119.9,1.26,0.53,0.86,2.52,1.95,11.48,-44.0,-1589.59,83.1,21.87
24.94,120.1,1.43,0.78,1.22,2.5,1.96,12.66,-44.0,-1640.4,73.53,19.67
17.89,124.7,1.29,0.17,3.07,2.34,1.53,12.09,-46.0,-1245.47,36.73,20.29
15.58,127.5,2.64,0.23,0.81,2.06,1.56,11.04,-45.0,-977.81,35.14,20.1
16.55,124.5,0.81,0.69,2.72,2.14,1.61,13.14,-45.0,-1019.79,60.69,20.82
19.34,101.6,0.74,0.03,3.15,2.07,1.57,12.61,-48.0,-1380.73,43.44,18.94
