X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
24.94,127.4,2.39,0.34,1.0,1.14,-43.0,-1774.627,59.165
15.75,122.6,2.94,0.53,1.12,1.13,-44.0,-968.317,40.819
23.35,117.8,2.43,0.55,1.14,0.59,-44.0,-1732.45,51.323
15.85,102.5,1.21,0.66,3.41,1.08,-47.0,-983.633,28.61
24.84,129.2,1.43,0.07,1.01,0.59,-45.0,-1967.584,60.584
16.16,107.0,2.71,0.97,1.69,1.17,-44.0,-936.376,34.477
24.76,145.1,2.31,0.03,1.0,0.62,-44.0,-1995.076,52.969
22.72,114.7,2.68,0.43,1.0,0.5,-44.0,-1691.464,47.4
16.05,109.9,3.4,0.97,1.7,1.82,-43.0,-778.411,35.772
17.58,120.2,3.77,0.52,1.0,1.14,-43.0,-1086.978,39.486
24.84,127.3,1.05,0.44,1.42,0.59,-45.0,-1924.456,54.059
22.46,106.5,1.07,0.58,2.62,1.16,-43.0,-1383.11,39.944
16.43,100.3,1.05,0.98,1.65,0.72,-46.0,-1047.972,42.438
16.55,104.8,3.09,0.43,1.63,0.84,-45.0,-1206.589,38.056
22.57,146.5,2.3,0.52,1.44,0.63,-43.0,-1778.082,58.887
15.66,139.8,3.04,0.92,1.82,0.75,-44.0,-1145.505,40.336
15.85,106.6,1.21,0.66,3.41,1.06,-47.0,-1000.7,28.602
15.65,120.7,3.17,0.41,1.15,1.57,-44.0,-867.544,35.301
15.7,136.2,3.74,0.26,1.33,0.74,-45.0,-1236.501,30.976
24.23,138.5,1.28,0.1,1.0,0.64,-44.0,-1936.241,62.63
15.97,100.1,3.82,0.98,1.05,0.72,-44.0,-990.851,23.434
24.24,111.4,1.28,1.0,1.94,1.09,-44.0,-1564.398,43.383
23.17,104.6,1.21,0.51,2.37,0.55,-43.0,-1656.314,43.68
16.4,109.9,3.4,0.99,1.57,1.88,-44.0,-807.123,37.921
20.81,109.9,3.3,0.53,1.0,1.88,-43.0,-1206.228,64.799
22.69,127.3,2.32,0.14,1.0,0.55,-44.0,-1789.6,55.874
24.94,106.0,1.08,0.93,1.01,1.22,-44.0,-1613.562,59.074
24.73,114.5,2.3,0.03,1.0,0.56,-44.0,-1896.642,48.303
16.16,100.5,2.68,0.92,1.82,0.75,-45.0,-1122.953,40.59
23.57,145.0,2.39,0.61,1.14,0.58,-43.0,-1825.042,57.07
16.22,120.7,3.04,0.41,1.15,1.46,-44.0,-943.177,39.252
16.2,137.1,3.2,0.01,1.78,0.75,-46.0,-1411.756,46.9
22.58,106.8,1.21,0.52,2.63,1.19,-42.0,-1375.926,42.512
24.34,120.3,2.48,0.25,1.0,1.04,-43.0,-1726.194,56.239
23.61,116.1,1.11,0.57,1.41,0.75,-45.0,-1722.764,53.679
16.02,143.0,3.43,0.41,1.27,1.12,-44.0,-1099.302,34.856
23.25,113.6,2.58,0.43,1.0,0.5,-44.0,-1736.729,48.149
17.03,113.1,3.25,0.46,1.17,1.52,-44.0,-968.858,39.5
